fire_size;fire_size_class;fire_cause;state;discovery_year;discovery_month;distance_wstation_m;vegetation_type;Temp_pre_30;Temp_pre_15;Temp_pre_7;Temp_contained;Wind_pre_30;Wind_pre_15;Wind_pre_7;Wind_contained;Hum_pre_30;Hum_pre_15;Hum_pre_7;Hum_contained;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_contained;remoteness
500;E;Lightning;NV;2011;Aug;3229681169;15;1729657534;1637878788;173251497;1807916667;1903150685;1.77E+16;1716167665;1.55;3686164384;4077134986;3302994012;3370833333;9.7;9.7;0;0;0.454063017
110826.7;G;Lightning;NV;2011;Aug;3988867832;15;1729657534;1637878788;173251497;1064265537;1903150685;1.77E+16;1716167665;3091525424;3686164384;4077134986;3302994012;6363247863;9.7;9.7;0;14.2;0.047784589
26;C;Debris Burning;CA;2011;Aug;1.75E+16;0;2393927178;2261575;2188737864;1682582897;2348114434;241775;2772815534;2890488656;4869628647;5208290155;5565625;6996777547;1.8;0.3;0.3;51.9;0.509731294
1;B;Equipment Use;CA;2011;Aug;7055292362;0;2393927178;2261575;2188737864;1682582897;2348114434;241775;2772815534;2890488656;4869628647;5208290155;5565625;6996777547;1.8;0.3;0.3;51.9;0.508906899
40;C;Lightning;CA;2011;Aug;4101199134;16;1870541475;1749870968;1791298077;2024791667;1.61E+16;150237581;1526699029;2139583333;701127923;7403183024;7391954023;644375;5.5;0.3;0.3;0;0.464631789
1;B;Miscellaneous;TX;2010;Aug;2312383242;16;2.54E+16;2439378479;2145298805;1914823911;3.54E+16;2.70E+16;2602191235;3043697868;7144461305;7235980392;7498202247;581814306;180.5;16.6;5.4;34.1;0.26738278
3;B;Arson;LA;2010;Aug;7789581234;12;2635353535;2550510441;2420594059;2066258581;0.847811448;0.814849188;0.891089109;1.00E+16;7276975945;7129481132;6925888325;6321495327;49.1;12.7;5.6;31.1;0.235082568
1;B;Miscellaneous;CA;2010;Aug;4738328062;16;1921670673;1954430693;2352631579;1539417549;1762139423;1709158416;1851461988;1455673222;6046585366;5759949622;4525146199;8.10E+15;0.3;0.3;0;84;0.466625873
1.1;B;Missing/Undefined;LA;2009;Aug;2.27E+16;12;2435234783;2412519084;2321449814;1829991756;1840869565;1974351145;2182527881;2592085738;8114873141;8424577573;822238806;8366891323;289.9;228.2;12.5;429.7;0.226423476
1;B;Equipment Use;CA;2007;Aug;255927875;0;162772093;1548214286;1608196721;1371490236;1.77E+16;1.79;1921311475;1425179856;7376484284;7204285714;6782513661;7401685393;9.4;9.4;8.1;5.6;0.516048903
1;B;Campfire;GA;2007;Aug;2765469794;16;2376148649;2258484108;2422471264;187366171;2487034949;2875245098;1797701149;2.99E+16;6469222097;6253431373;5906321839;7302717901;72.8;33.6;0;51.9;0.151378812
1;B;Children;SC;2007;Aug;6.38E+15;16;2493181818;2381394336;2502705314;2087453294;2458951965;2700657895;1922439024;2.40E+16;6587905935;6361200924;6130845771;7115384615;36.6;27;0;69.8;0.126761167
5;B;Equipment Use;SC;2007;Aug;2.55E+16;16;2523674912;2399065421;2536075269;2123572939;1579740872;169953271;1291397849;1.53E+16;6799289941;6791981132;627032967;7336147186;18.1;17.8;0;51.1;0.125321527
5506;G;Powerline;WA;2006;Aug;4.66E+16;15;1726445367;1462403315;1719642857;1554583333;3219087137;3287292818;3110119048;3869444444;4734950071;5703314917;5160119048;3906944444;5.8;5.8;0;0;0.149438129
1;B;Arson;FL;2006;Aug;3542126116;12;2524286383;2478107607;2390039841;2162721342;1534411627;141996286;1.40E+16;2079962721;768806391;7276230269;7114143426;6688397018;76.4;28.3;0.3;13.8;0.143347317
1;B;Arson;MS;2006;Aug;3.19E+16;12;2368967114;2236422614;2142942346;1882753825;1984012975;2206493506;2369980119;2137042188;6898045267;6889533679;6858498896;6939774475;224.5;26.6;5.3;83.9;0.204294997
3264.6;F;Equipment Use;ID;2006;Aug;7884780539;9;1477124011;1111005025;1356130952;1765833333;3740369393;4053015075;2683928571;31875;4580371353;5449746193;4.10E+16;27;10.2;10.2;0;0;0.034299666
15;C;Lightning;AR;2005;Aug;7319640872;15;2441448931;2393835616;2353456221;1540372671;171152019;2166210046;3.01E+16;1.27E+16;6952624113;7511111111;7538378378;7075949367;138.2;130.8;84.4;0.9;0.241596057
2;B;Debris Burning;AR;2004;Aug;3.60E+16;16;2387735849;2345136612;2287383721;193495858;2048247978;2354644809;2504651163;278887574;6352162162;6099726776;6074418605;7595798319;13.6;8.7;8.7;190;0.228247088
